metric,direction,observed_diff,sig_median,non_median
delta_h1_zero,positive,0.05263157894736842,0.03759398496240601,-0.015037593984962405
delta_lambda2,positive,0.5237956380573952,0.34002656855293933,-0.18376906950445582
delta_aspl,negative,-0.06778049541532694,-0.10094398448060016,-0.03316348906527322
