label,task_idx,p00,p01,p10,p11,Delta_mean,Delta_peak,Delta_stability,Theta_mean,Theta_peak,Theta_stability,Alpha_mean,Alpha_peak,Alpha_stability,Beta_mean,Beta_peak,Beta_stability,Gamma_mean,Gamma_peak,Gamma_stability
P1,1,0.26,0.21,0.3,0.23,54.359517258067214,129.20412562548762,-37.74197565912748,18.85746082814104,48.40520864327444,-18.170301781320916,35.30954155651536,91.73703108147902,-24.290453325601955,113.8950542951221,205.21866669893956,-38.729705854156535,84.70408122380465,146.79065701285782,-30.54299053930034
P1,2,0.22,0.23,0.26,0.29,90.48872639288942,357.1418543958432,-99.76454503194509,37.52643351068577,101.44407138099,-31.974848739601832,54.56934544639462,122.66455433894939,-36.76880221260835,145.86502821655438,300.4486792209214,-67.9024351412428,131.16073123533215,294.4575470364491,-60.48392149247923
P1,3,0.25,0.26,0.27,0.22,470.393999779038,1085.7533885385706,-348.4040112784086,24.92938740204408,80.47741137576364,-20.93682324439359,51.19451301246331,123.29910030537073,-29.383242917510863,203.3109636917841,356.8283085579175,-78.31680343138366,163.0022542648147,348.77472212524935,-67.58275380086359
P1,4,0.3,0.27,0.23,0.2,335.98054383320596,3451.7051939734292,-585.9213342871964,44.60988162524937,146.1048247049764,-35.96114246188164,33.47858311461095,91.26803414712307,-30.024352798632357,227.3915580906537,486.34648950588434,-82.4337200972668,218.72291263032443,796.7010738029012,-133.31151286531752
P1,5,0.25,0.19,0.3,0.26,535.1563053001223,1358.2129287717307,-355.85008108938376,16.226939365052708,41.8187422691516,-10.833614685838967,49.868124416911236,140.59037981933886,-36.04896087569224,239.75813738420473,408.561344929151,-68.64089791607,264.44155297606136,419.7998095881077,-86.22246341293855
P1,6,0.27,0.2,0.3,0.23,3254.246209916052,10064.26878822422,-2961.3637621774697,93.82286714762697,296.0042868209138,-79.20072752118205,105.4381550251378,202.5843138907332,-68.00973996871745,231.7717650425999,779.0076484712595,-189.18098117099026,370.17155174390416,1469.3998670551441,-325.1041256485574
P1,7,0.25,0.2,0.27,0.28,2459.671465787394,6035.627851806153,-2075.553934605727,72.36426325984151,188.9416514796484,-50.742309203247395,29.942539272250812,79.4160300750717,-25.315301797909534,277.4647168491145,1076.1507056543946,-217.19416559600757,264.26190359891416,603.186429459844,-153.96863241498292
P1,8,0.35,0.17,0.21,0.27,5890.659020478194,22421.92481151798,-7073.5649321929495,88.03438132940656,290.89050993365873,-71.78856158692548,52.81692348192422,128.24704947971108,-37.319718555113,354.00865774395317,525.756594182835,-79.29555345687017,511.5946776218535,1326.55824308664,-337.7954781979623
P1,9,0.33,0.24,0.23,0.2,530.544560215026,1995.0745607770896,-581.8055768867983,96.02268336726289,274.0904152036703,-72.76312090442764,44.08691830921045,76.78910661474147,-22.550744439438464,499.0341636845992,996.7199374752402,-224.16832540671678,420.5250629377668,968.7675289143872,-197.14835933797133
P1,10,0.37,0.2,0.18,0.25,8920.837279072703,38588.41493679966,-12209.461418965802,28.641194307746296,72.8607632587908,-19.49899288549337,64.08836794853757,140.4862438808713,-41.46405889158764,306.5181182059576,638.5535844972158,-103.06368570635523,451.2150229512653,784.6348167426709,-161.1559961706506
P1,11,0.34,0.25,0.2,0.21,19170.225803572917,39439.19266812209,-11294.220399971427,285.0566421666216,1236.790397330984,-364.62464752773275,209.15210001680018,769.2209600182678,-192.78917135108134,494.24454731581216,1063.235801515636,-245.1914702110104,563.187540626992,1179.2092539688567,-246.2162578879176
P1,12,0.26,0.2,0.26,0.28,550.8954055891902,2933.017290805393,-865.6346280355724,100.62643803001406,383.4862647800698,-105.41304615767561,47.46557093925407,109.66256412510197,-29.942934038881063,289.0497722318247,467.3541448272738,-96.79822816433789,210.89150368481836,518.8258180570638,-128.08404570910466
P1,13,0.27,0.25,0.23,0.25,2466.0130083611625,9388.379709999217,-2049.6169928666827,114.00982784890358,371.1321384956181,-87.27637955878079,68.1071958256303,136.08736400910414,-32.632007282035374,327.02218558564414,526.6719186755129,-78.20462034108901,275.68464504271265,644.8927450023331,-157.6879480865942
P1,14,0.33,0.18,0.28,0.21,12848.407701089305,37756.417156532254,-11837.667818201047,98.66893777532218,512.374809227364,-140.19343905772988,56.36976977673088,215.94631920796303,-57.828259557082966,389.7720577485058,640.1405600816731,-115.69571519074755,674.5007831749417,1730.6549910823437,-430.14604216366445
P1,15,0.22,0.33,0.27,0.18,1966.951339410699,4776.82988441219,-1301.8384450240976,110.28992520850281,401.93476626313543,-105.65713085019277,95.0470908803266,307.1458151047502,-83.40045677301508,438.93969430127913,1044.6246300185228,-171.7899015426311,797.6086347938917,1515.5731916041166,-289.9856842788945
