rel_t_sec,n_sessions,mean_z_h1,median_z_h1,mean_z_lambda2,median_z_lambda2,mean_z_aspl,median_z_aspl,h1_zero_rate
-2.0,17,-0.3727941230211678,-0.7275322472356978,-0.19051159706264661,-0.4053601716825782,-0.16773772396156514,-0.2728284258734613,0.47058823529411764
-1.875,17,-0.14796183396186205,-0.317925444321325,0.05736993793998629,-0.424334382112291,-0.10061351284047726,-0.2863983221607439,0.17647058823529413
-1.75,17,-0.06344306639090612,-0.7194772530687701,0.4162146312637461,0.16984263059756743,-0.3059504370902367,-0.777826992764111,0.17647058823529413
-1.625,17,-0.23999166140812916,-0.6574615823858656,0.04541557580325596,0.009051079797917156,-0.1864417317189818,-0.223705454507695,0.23529411764705882
-1.5,17,0.381024703300541,0.34491245987984887,0.09919431478149476,-0.30622754076774633,0.2041062778821427,0.42432950398771724,0.058823529411764705
-1.375,17,-0.25291269335769445,-0.4737497779708628,0.17456857023832675,-0.09471353922697245,-0.20096311599681405,-0.38287468556678833,0.23529411764705882
-1.25,17,0.1471463397229614,0.11192553100868073,0.0571406013383839,-0.1909101656026149,0.04957377523288779,0.05208512037984577,0.11764705882352941
-1.125,17,-0.05017143910957749,0.06776030199845164,-0.1404851185786104,-0.29251446409699405,-0.10270236641588036,-0.30843591539271614,0.11764705882352941
-1.0,17,0.27077944065209375,-0.26970148775162645,0.3295717689261258,0.283311939312589,-0.11927792062885845,-0.10973297452714184,0.23529411764705882
-0.875,17,-0.05507399522841222,0.03383560866166306,-0.019516728341166033,-0.20773665447196935,0.05140123954019953,-0.024837029193976935,0.29411764705882354
-0.75,17,-0.25798526941656413,-0.5215632088222286,0.17256946380691696,-0.041765334073560596,-0.17607256886964415,0.2260293245997572,0.058823529411764705
-0.625,17,0.05943025546540418,-0.08496885185221885,0.1339895197201418,-0.09161361507280773,0.09933457306300372,0.06606372863107315,0.29411764705882354
-0.5,17,0.3616176199712222,0.08582664443201252,-0.12214106362127003,-0.22656062483474532,0.2601855899217306,0.4137557685671542,0.058823529411764705
-0.375,17,0.1203999925430136,0.03516579868501763,-0.2626385894358861,-0.32440523493246753,0.18050445058399267,0.2271368208103983,0.17647058823529413
-0.25,17,-0.03174566862782107,-0.47557983604528936,-0.14021136421015434,-0.41403398758134924,0.043505890254779696,0.01381271171496709,0.11764705882352941
-0.125,17,0.21110967449233645,0.23304821412911705,-0.08918429597651933,-0.05204586758602392,0.02283176418998108,0.01066811080330179,0.17647058823529413
0.0,17,-0.19529350389905578,-0.6035444486712804,0.29636424880708806,0.30230974214385153,-0.22246354323629003,-0.3599027739634696,0.23529411764705882
0.125,17,-0.21861241571393442,-0.4746975708249115,0.2778443194376004,0.18490266171310415,-0.4251023070246188,-0.2742896886555226,0.29411764705882354
0.25,17,-0.24867064824888652,-0.5529745223452557,0.17411922797498983,0.009231676285234958,-0.6561629069015562,-0.6597344826029942,0.17647058823529413
0.375,17,-0.5134551550850587,-0.5762988964833948,-0.1799323710654186,-0.46565589513565164,-0.1914656726572883,-0.22780651351372128,0.29411764705882354
0.5,17,-0.28244331482391405,-0.6685772878941276,0.17422303996168123,0.004447876573646968,-0.2455113957170236,-0.3058782550903723,0.23529411764705882
0.625,17,0.24711037342608833,0.027266334151881656,-0.025308548969919343,-0.23219779851732944,0.2655749824343424,0.06769092331146702,0.11764705882352941
0.75,17,0.09437316403793071,0.0895712539400908,-0.18137500663746753,-0.3712663105810074,0.09922424337188158,0.13844174121679179,0.11764705882352941
0.875,17,0.2760398509980756,0.3026442503204288,-0.3267995096479955,-0.4932427201529978,0.38538257315776514,0.3990634131236591,0.17647058823529413
1.0,17,0.5508880159761798,-0.02993762894554901,-0.008843596082705671,-0.2891491583587044,0.16238347856231114,0.25806738335594803,0.11764705882352941
1.125,17,0.05169551261181466,0.006628964438262752,-0.0972750802378194,-0.35515802071471325,0.17407623455379992,0.10857835521894706,0.17647058823529413
1.25,17,0.028221832830595376,-0.013783199776897879,-0.430867993800251,-0.49972211503328595,0.45706809542830634,0.633432471798869,0.11764705882352941
1.375,17,-0.047090103333302005,-0.2576216051839383,0.0863264518796947,-0.2563811965673755,0.15188383012435563,0.2057434649861759,0.17647058823529413
1.5,17,-0.10483103174835906,-0.2595199007631322,-0.34796908934878895,-0.4657667697633674,0.3623678623439826,0.37225293844762053,0.11764705882352941
1.625,17,-0.08512414409088997,-0.26970148775162645,-0.3384200387474122,-0.4640656252611613,0.32108451268166527,0.4014834943113248,0.17647058823529413
1.75,17,0.3029698849521356,-0.18753829586196333,-0.16248517679561983,-0.10739150029006422,0.2335758479446197,0.5740555404085984,0.058823529411764705
1.875,17,0.10323301858455722,-7.145978111455379e-06,0.4172706897858449,0.2971518929150661,-0.3770548894391053,-0.30658419920788,0.058823529411764705
2.0,17,-0.038439612099414676,-0.3100224455529637,0.1517828068943737,-0.1982273882911352,-0.04654512877340481,-0.10294986714120809,0.17647058823529413
