rel_t_sec,mean_h1,sem_h1,mean_lambda2,sem_lambda2,mean_aspl,sem_aspl
-2.0,-0.3727941230211678,0.18206120184892943,-0.19051159706264661,0.2013173749992614,-0.167737723961565,0.1641307128503868
-1.875,-0.14796183396186205,0.2016412947931824,0.05736993793998629,0.2736237023796205,-0.10061351284047747,0.2655116312804741
-1.75,-0.06344306639090612,0.34191830950957025,0.4162146312637461,0.25834833510457145,-0.3059504370902369,0.2831456597801984
-1.625,-0.23999166140812916,0.21363119516286533,0.04541557580325596,0.25376898021896993,-0.1864417317189816,0.268848088474236
-1.5,0.381024703300541,0.25771450857643363,0.09919431478149476,0.34003037499670524,0.2041062778821431,0.29615415219725194
-1.375,-0.25291269335769445,0.186304386840689,0.17456857023832675,0.2205038505147981,-0.2009631159968142,0.2456824375383057
-1.25,0.1471463397229614,0.2992962807274814,0.0571406013383839,0.22651753451932868,0.04957377523288781,0.2033988693165408
-1.125,-0.05017143910957749,0.19495078603960114,-0.1404851185786104,0.20745483954222038,-0.1027023664158803,0.2089643574183127
-1.0,0.27077944065209375,0.3480742010446992,0.3295717689261258,0.19200405098801365,-0.11927792062885842,0.25388754889134735
-0.875,-0.05507399522841222,0.19721643737515554,-0.019516728341166033,0.19248744342261556,0.05140123954019945,0.2013702428219065
-0.75,-0.25798526941656413,0.23367667717912935,0.17256946380691696,0.2514537459362334,-0.17607256886964381,0.23922611934545246
-0.625,0.05943025546540418,0.25890789135648196,0.1339895197201418,0.28714126697826603,0.09933457306300363,0.29607719611796673
-0.5,0.3616176199712222,0.22959979088588592,-0.12214106362127003,0.1964037428465186,0.2601855899217309,0.28087249013263477
-0.375,0.1203999925430136,0.20617852739109738,-0.2626385894358861,0.16565946164858306,0.1805044505839927,0.2028753933253869
-0.25,-0.03174566862782107,0.25706338371414655,-0.14021136421015434,0.17784378039698967,0.0435058902547795,0.2531174688057818
-0.125,0.21110967449233645,0.21501477879589842,-0.08918429597651933,0.19651533331222198,0.022831764189981257,0.22760184368152495
0.0,-0.19529350389905578,0.2673315819903561,0.29636424880708806,0.3067147534491232,-0.22246354323629028,0.2954144636287476
0.125,-0.21861241571393442,0.22231337463378265,0.2778443194376004,0.3137748145409699,-0.4251023070246191,0.25549785856529234
0.25,-0.24867064824888652,0.20531970275482886,0.17411922797498983,0.3330240514620581,-0.656162906901556,0.1848925122323441
0.375,-0.5134551550850587,0.16338499248898675,-0.1799323710654186,0.27595377797482845,-0.19146567265728806,0.26679333389921295
0.5,-0.28244331482391405,0.20615482959627543,0.17422303996168123,0.3737338550059524,-0.2455113957170235,0.2725618440384246
0.625,0.24711037342608833,0.3128121198813802,-0.025308548969919343,0.2735227645684788,0.2655749824343424,0.29033129101119803
0.75,0.09437316403793071,0.2365360185789964,-0.18137500663746753,0.17543048183837384,0.09922424337188138,0.20384590582311995
0.875,0.2760398509980756,0.22749827589524738,-0.3267995096479955,0.22909708859765976,0.3853825731577655,0.22442500390702816
1.0,0.5508880159761798,0.3605032759507894,-0.008843596082705671,0.20065133044408176,0.16238347856231125,0.1894913523015225
1.125,0.05169551261181466,0.251028311864418,-0.0972750802378194,0.1524127081556416,0.17407623455380014,0.20052351919565253
1.25,0.028221832830595376,0.20885112505377518,-0.430867993800251,0.1923392073902505,0.4570680954283063,0.24056700158929026
1.375,-0.047090103333302005,0.20119506794153177,0.0863264518796947,0.2763794308700642,0.15188383012435586,0.2710411986870589
1.5,-0.10483103174835906,0.19054211909681976,-0.34796908934878895,0.19604542594319233,0.3623678623439824,0.23647215219409898
1.625,-0.08512414409088997,0.2029333143835147,-0.3384200387474122,0.19239495769839113,0.3210845126816653,0.2155453251739363
1.75,0.3029698849521356,0.28584062531980226,-0.16248517679561983,0.2599438351564568,0.23357584794461975,0.23831263921848225
1.875,0.10323301858455722,0.21563043069682344,0.4172706897858449,0.17223616781783507,-0.3770548894391054,0.19785415828270736
2.0,-0.038439612099414676,0.2670012103077788,0.1517828068943737,0.27239465289378667,-0.04654512877340449,0.2152691272182095
