condition,iteration,metric,median_diff
false_session_matching,35,delta_h1_zero,0.10526315789473684
false_session_matching,35,delta_lambda2,0.2217803417018671
false_session_matching,35,delta_aspl,-0.06444354845712441
false_session_matching,36,delta_h1_zero,-0.05263157894736842
false_session_matching,36,delta_lambda2,-0.11216924052179955
false_session_matching,36,delta_aspl,0.16529646826470534
false_session_matching,37,delta_h1_zero,0.09022556390977443
false_session_matching,37,delta_lambda2,-0.11243039798549592
false_session_matching,37,delta_aspl,-0.14211435290774865
false_session_matching,38,delta_h1_zero,-0.03759398496240601
false_session_matching,38,delta_lambda2,-1.1245090674259401
false_session_matching,38,delta_aspl,0.16576447818205553
false_session_matching,39,delta_h1_zero,0.09022556390977443
false_session_matching,39,delta_lambda2,0.030557430780301154
false_session_matching,39,delta_aspl,0.11417470234070382
false_session_matching,40,delta_h1_zero,-0.03383458646616541
false_session_matching,40,delta_lambda2,0.02239103075539428
false_session_matching,40,delta_aspl,-0.18280337709664352
false_session_matching,41,delta_h1_zero,-0.018796992481203006
false_session_matching,41,delta_lambda2,-0.43544193528999053
false_session_matching,41,delta_aspl,0.015161780783644163
false_session_matching,42,delta_h1_zero,0.015037593984962405
false_session_matching,42,delta_lambda2,0.01054623978815239
false_session_matching,42,delta_aspl,-0.06813670669042038
false_session_matching,43,delta_h1_zero,-0.07894736842105263
false_session_matching,43,delta_lambda2,0.1645854531695865
false_session_matching,43,delta_aspl,-0.21942964629610584
false_session_matching,44,delta_h1_zero,-0.07894736842105263
false_session_matching,44,delta_lambda2,-0.7571342786682169
false_session_matching,44,delta_aspl,0.13311835702097508
false_session_matching,45,delta_h1_zero,0.02631578947368421
false_session_matching,45,delta_lambda2,-0.35587178458222657
false_session_matching,45,delta_aspl,-0.07934368771620104
false_session_matching,46,delta_h1_zero,0.15789473684210525
false_session_matching,46,delta_lambda2,-0.12336358302871275
false_session_matching,46,delta_aspl,-0.14721897504572112
false_session_matching,47,delta_h1_zero,-0.10526315789473684
false_session_matching,47,delta_lambda2,-0.4486950418595952
false_session_matching,47,delta_aspl,-0.18002063344825348
false_session_matching,48,delta_h1_zero,0.05263157894736842
false_session_matching,48,delta_lambda2,0.10031001774458836
false_session_matching,48,delta_aspl,-0.09123667791270185
false_session_matching,49,delta_h1_zero,0.07142857142857142
false_session_matching,49,delta_lambda2,-0.23041819086439563
false_session_matching,49,delta_aspl,-0.08684451807233129
false_session_matching,50,delta_h1_zero,-0.14285714285714285
false_session_matching,50,delta_lambda2,-0.19045634587320137
false_session_matching,50,delta_aspl,0.16082938164818295
false_session_matching,51,delta_h1_zero,-0.06015037593984962
false_session_matching,51,delta_lambda2,-0.21903046581509056
false_session_matching,51,delta_aspl,-0.009768910836180478
false_session_matching,52,delta_h1_zero,-0.018796992481203006
false_session_matching,52,delta_lambda2,0.3137040510135436
false_session_matching,52,delta_aspl,-0.05442163636214281
false_session_matching,53,delta_h1_zero,0.0
false_session_matching,53,delta_lambda2,-0.4094971283989106
false_session_matching,53,delta_aspl,-0.05337781732420632
false_session_matching,54,delta_h1_zero,0.0
