label,channel_mode,feature_mode,task_mode,is_sig_session,best_pair,peak_task_idx,peak_signed_contrib,top_lambda2,rest_lambda2,top_aspl,rest_aspl,top_h1_zero,rest_h1_zero,delta_lambda2,delta_aspl,delta_h1_zero
P24,4ch,60corr,26task,0,Beta_peak x p01,6,3.3871340265415504,2.6228120250137237,2.992449527760653,2.454227355353185,2.507277869911925,0.0,0.05263157894736842,-0.3696375027469294,-0.05305051455873988,-0.05263157894736842
P25,4ch,60corr,26task,1,Delta_peak x p00,1,5.311867021355135,2.87643842835164,3.6749167116881822,2.301803091280171,2.1577453099181474,0.2857142857142857,0.10526315789473684,-0.798478283336542,0.14405778136202363,0.18045112781954886
P26,4ch,60corr,26task,1,Alpha_mean x p10,9,5.184706750503363,2.313992204017514,2.4575822654829804,2.962138017860578,2.890466511496743,0.14285714285714285,0.0,-0.1435900614654666,0.07167150636383468,0.14285714285714285
P3,4ch,60corr,26task,1,Gamma_mean x p01,19,7.508294222040953,2.548333724381582,2.2083071558286425,2.549587404579384,2.650531389059984,0.0,0.10526315789473684,0.34002656855293933,-0.10094398448060016,-0.10526315789473684
P4,4ch,60corr,26task,1,Delta_stability x p10,18,11.095741138246678,3.4877761749617675,3.0283282437800465,2.5941138496854537,2.5601933373280774,0.14285714285714285,0.05263157894736842,0.459447931181721,0.033920512357376253,0.09022556390977443
P5,4ch,60corr,26task,1,Alpha_stability x p10,3,9.010829550329472,2.8429494489439877,2.9558250196533495,2.697250565836613,2.253098283389125,0.0,0.10526315789473684,-0.11287557070936183,0.44415228244748794,-0.10526315789473684
P6,4ch,60corr,26task,0,Theta_stability x p01,11,3.4938272754075457,2.2464817717719145,2.4302508412763704,2.7101105402955485,2.8645516165106377,0.0,0.0,-0.18376906950445582,-0.15444107621508918,0.0
P7,4ch,60corr,26task,0,Delta_stability x p00,20,3.1123622868270027,2.8575344860538308,3.0753757214502664,2.217307370326911,2.250470859392184,0.0,0.10526315789473684,-0.21784123539643563,-0.03316348906527322,-0.10526315789473684
P8,4ch,60corr,26task,1,Beta_mean x p11,1,5.616870108752644,3.55192439569782,2.571291038132611,2.812592163996819,2.6046940312658298,0.14285714285714285,0.10526315789473684,0.9806333575652091,0.20789813273098945,0.03759398496240601
P9,4ch,60corr,26task,1,Theta_mean x p10,22,4.864439527377153,2.644542980823746,2.3764654703880908,2.8788580974504856,2.9875270832686787,0.14285714285714285,0.0,0.2680775104356554,-0.10866898581819306,0.14285714285714285
