label,channel_mode,feature_mode,task_mode,is_sig_session,best_pair,peak_task_idx,peak_signed_contrib,top_lambda2,rest_lambda2,top_aspl,rest_aspl,top_h1_zero,rest_h1_zero,delta_lambda2,delta_aspl,delta_h1_zero
P1,4ch,60corr,26task,1,Delta_peak x p00,22,2.57374237607147,9.291611868399729,7.014225580206292,1.3794926943170707,1.5306216616582156,0.2857142857142857,0.2631578947368421,2.277386288193437,-0.1511289673411449,0.022556390977443608
P10,4ch,60corr,26task,1,Delta_stability x p00,3,3.293462145989834,3.2584391505574226,3.3256731857451842,1.9524057661172525,2.301302389845422,0.42857142857142855,0.15789473684210525,-0.06723403518776161,-0.34889662372816943,0.2706766917293233
P11,4ch,60corr,26task,1,Alpha_mean x p00,3,6.458832244664741,2.3527645407276134,2.769198432052478,2.7539695192163043,2.5041702379751194,0.0,0.05263157894736842,-0.41643389132486464,0.2497992812411849,-0.05263157894736842
P12,4ch,60corr,26task,0,Beta_mean x p00,1,5.654588213545847,2.332892690487109,2.858645571444438,2.6386363578520213,2.503020883492027,0.0,0.10526315789473684,-0.5257528809573291,0.13561547435999444,-0.10526315789473684
P13,4ch,60corr,26task,0,Delta_peak x p10,19,5.092552522642668,2.568693918661056,2.604397316577719,2.6242198706086834,2.6133054804130986,0.0,0.05263157894736842,-0.03570339791666299,0.010914390195584822,-0.05263157894736842
P14,4ch,60corr,26task,1,Gamma_mean x p10,26,3.6271437739842343,4.155195752221195,3.476004973519671,2.2048335587422883,2.5379014493528973,0.14285714285714285,0.15789473684210525,0.6791907787015234,-0.33306789061060904,-0.015037593984962405
P15,4ch,60corr,26task,0,Theta_stability x p11,5,8.766155593492488,3.9686303386457777,4.2905214088215935,2.874873523482086,2.386266987036872,0.14285714285714285,0.10526315789473684,-0.32189107017581575,0.48860653644521435,0.03759398496240601
P16,4ch,60corr,26task,0,Theta_stability x p01,1,4.461307131596877,4.349336442243845,3.306309432483545,2.4033528176054624,2.6455752577922165,0.14285714285714285,0.05263157894736842,1.0430270097603,-0.2422224401867541,0.09022556390977443
P17,4ch,60corr,26task,1,Beta_mean x p00,11,3.3829449170976886,3.530581255934481,2.9443283909187805,1.8964128950659915,2.2552524407278804,0.2857142857142857,0.10526315789473684,0.5862528650157004,-0.3588395456618889,0.18045112781954886
P18,4ch,60corr,26task,0,Gamma_mean x p11,13,1.4384232707909206,4.573284755107609,4.118055761280133,2.4706440776936973,1.8218414943704104,0.14285714285714285,0.15789473684210525,0.4552289938274754,0.6488025833232869,-0.015037593984962405
P19,4ch,60corr,26task,1,Gamma_mean x p11,12,3.9403033224349873,2.9909669736787916,2.70613681550931,2.546963221474389,2.8013040810414234,0.0,0.05263157894736842,0.28483015816948143,-0.25434085956703445,-0.05263157894736842
P2,4ch,60corr,26task,1,Beta_mean x p11,26,3.4015135527059823,3.1966327897917775,2.443998257900968,2.425800482996255,2.514708941852763,0.14285714285714285,0.15789473684210525,0.7526345318908096,-0.08890845885650789,-0.015037593984962405
P20,4ch,60corr,26task,1,Gamma_stability x p01,23,4.649564347181866,2.7360673684513652,3.061576050811536,2.573565438795938,2.41418283758142,0.0,0.10526315789473684,-0.3255086823601707,0.15938260121451808,-0.10526315789473684
P21,4ch,60corr,26task,1,Delta_peak x p10,21,3.1084002625359997,3.982993980994809,3.087461852445236,2.242328656449664,2.6894734336695083,0.42857142857142855,0.05263157894736842,0.895532128549573,-0.44714477721984425,0.37593984962406013
P22,4ch,60corr,26task,0,Gamma_mean x p01,9,5.061985480461162,4.533266094974406,2.4536158906939396,2.5012843125966944,2.8185578397464934,0.14285714285714285,0.0,2.0796502042804668,-0.31727352714979906,0.14285714285714285
P23,4ch,60corr,26task,1,Delta_mean x p11,5,6.9742544160553575,4.114264878577377,2.8035181103199753,2.120360494413786,2.526635765547176,0.14285714285714285,0.0,1.310746768257402,-0.4062752711333899,0.14285714285714285
