condition,delta_h1_zero,delta_h1_zero_lo,delta_h1_zero_hi,delta_lambda2,delta_lambda2_lo,delta_lambda2_hi,delta_aspl,delta_aspl_lo,delta_aspl_hi
4ch / 60corr / 26task,0.07518796992481203,-0.05263157894736842,0.19548872180451127,0.5026713935659171,-0.5681045645368372,0.9704757672872453,-0.06778049541532694,-0.48451209808816387,0.1971082959207635
4ch / 20corr / 26task,-0.05263157894736842,-0.15789473684210525,0.10526315789473684,0.1735854506698047,-0.5350706201929402,0.6784610713128219,-0.030940827011271654,-0.26525524976261927,0.27790129020031795
14ch / 20corr / 30task,0.005681818181818184,-0.1477272727272727,0.14204545454545453,0.2817416224062319,-0.5029155130057618,0.9417229391849354,0.07592794696595506,-0.24522676450853464,0.35464081286005
