label,channel_mode,feature_mode,task_mode,is_sig_session,best_pair,peak_task_idx,peak_signed_contrib,top_lambda2,rest_lambda2,top_aspl,rest_aspl,top_h1_zero,rest_h1_zero,delta_lambda2,delta_aspl,delta_h1_zero
P1,14ch,20corr,30task,1,Delta_mean x p00,11,2.7082316449963475,7.584748789732622,7.528887788992248,1.8034052622329015,1.457739720917391,0.375,0.18181818181818182,0.055861000740374145,0.3456655413155105,0.19318181818181818
P10,14ch,20corr,30task,0,Theta_mean x p01,12,11.683383970574527,3.4409739464512716,3.3478635967965173,2.329198869438632,2.193091881128015,0.0,0.2727272727272727,0.09311034965475429,0.13610698831061718,-0.2727272727272727
P11,14ch,20corr,30task,1,Alpha_mean x p00,3,5.685414128131036,2.335954286782116,2.89929837958489,2.69975184902287,2.470692077163225,0.125,0.0,-0.5633440928027742,0.229059771859645,0.125
P12,14ch,20corr,30task,0,Delta_mean x p00,1,4.221961560574678,2.263339564774886,2.954580288944214,2.5308737560639765,2.5151535293198375,0.125,0.045454545454545456,-0.6912407241693277,0.015720226744138976,0.07954545454545454
P13,14ch,20corr,30task,1,Theta_mean x p00,30,12.864077714230081,2.8168005394351034,2.5907095402473264,2.530866717680418,2.6579699129658922,0.0,0.045454545454545456,0.2260909991877771,-0.12710319528547442,-0.045454545454545456
P14,14ch,20corr,30task,0,Gamma_mean x p00,24,8.862312920388211,4.209336130100949,3.5144116447751017,2.254184367848804,2.50818795407905,0.125,0.22727272727272727,0.6949244853258474,-0.2540035862302461,-0.10227272727272727
P15,14ch,20corr,30task,0,Theta_mean x p11,5,9.665306929158858,3.779325059655537,4.139955398169649,2.870154051711588,2.419962997744203,0.125,0.09090909090909091,-0.36063033851411186,0.450191053967385,0.03409090909090909
P16,14ch,20corr,30task,1,Theta_mean x p00,22,6.101730089377105,4.129286505012444,3.2316888819212988,2.348760204482489,2.713035953076566,0.125,0.045454545454545456,0.8975976230911451,-0.3642757485940771,0.07954545454545454
P17,14ch,20corr,30task,0,Gamma_mean x p10,3,1.8135779263534766,3.041775097338573,3.4140685560120163,2.0415630987593825,2.19097497095533,0.25,0.09090909090909091,-0.3722934586734432,-0.14941187219594765,0.1590909090909091
P18,14ch,20corr,30task,0,Gamma_mean x p11,13,1.6959243052133366,4.276638369971435,3.8714228773981545,2.546426644481629,1.9925309016707102,0.125,0.13636363636363635,0.4052154925732805,0.5538957428109186,-0.011363636363636354
P19,14ch,20corr,30task,1,Beta_mean x p10,28,13.81143020747175,3.080920951053719,2.5838804771460127,2.579705918635832,2.794708844200533,0.0,0.045454545454545456,0.49704047390770656,-0.21500292556470102,-0.045454545454545456
P2,14ch,20corr,30task,1,Alpha_mean x p01,2,4.889905878436427,2.7364069854640882,2.5855017491221544,2.476416640756409,2.5296933463250046,0.25,0.09090909090909091,0.15090523634193387,-0.05327670556859543,0.1590909090909091
P20,14ch,20corr,30task,0,Gamma_mean x p10,30,3.078673994562489,2.558016388463757,3.0258695079950217,2.4907806589414223,2.455198270084116,0.125,0.13636363636363635,-0.46785311953126474,0.035582388857306135,-0.011363636363636354
P21,14ch,20corr,30task,0,Theta_mean x p00,23,8.23617157494379,4.428531696965738,3.127642469730517,2.2067144301954755,2.5373025384516446,0.375,0.18181818181818182,1.300889227235221,-0.330588108256169,0.19318181818181818
P22,14ch,20corr,30task,0,Delta_mean x p11,16,6.764929137748516,2.745855552409368,2.9973829692276457,2.842426344850554,2.717449813665692,0.0,0.045454545454545456,-0.2515274168182775,0.12497653118486207,-0.045454545454545456
P23,14ch,20corr,30task,0,Delta_mean x p11,5,5.752558894564544,4.023824066233683,2.7119011111864157,2.144793301043677,2.5384050915539076,0.125,0.0,1.311922955047267,-0.39361179051023054,0.125
P24,14ch,20corr,30task,0,Delta_mean x p01,26,6.669762997518319,3.167080206005417,2.693877993890741,2.505242399348905,2.550903163947788,0.125,0.0,0.47320221211467617,-0.04566076459888313,0.125
P25,14ch,20corr,30task,0,Beta_mean x p00,1,3.826462131298164,2.819854803441129,3.6465336023882027,2.3160526755572977,2.20328765624771,0.375,0.09090909090909091,-0.8266787989470736,0.11276501930958771,0.28409090909090906
P26,14ch,20corr,30task,0,Alpha_mean x p11,13,7.920552871545549,2.276353934707288,2.3695974393486643,3.070856586066637,2.8913911625806628,0.125,0.0,-0.09324350464137643,0.17946542348597427,0.125
P3,14ch,20corr,30task,0,Delta_mean x p01,15,1.6926782284323971,2.5535067224844106,2.3079751221267752,2.551184708168919,2.63788984342382,0.25,0.045454545454545456,0.24553160035763533,-0.08670513525490087,0.20454545454545453
P4,14ch,20corr,30task,1,Beta_mean x p00,8,2.205014976667181,2.558388953305662,3.282300607167628,2.8160661187540503,2.4763955748213724,0.0,0.09090909090909091,-0.7239116538619661,0.3396705439326779,-0.09090909090909091
P5,14ch,20corr,30task,0,Gamma_mean x p10,5,1.9855559554165734,2.580797379843715,2.995559862903241,2.5607492930874125,2.3431711525684604,0.0,0.09090909090909091,-0.4147624830595258,0.21757814051895208,-0.09090909090909091
P6,14ch,20corr,30task,0,Alpha_mean x p01,27,6.458231029832174,2.192552958803615,2.3562661230625426,2.7431941209289823,2.914117087517383,0.0,0.0,-0.1637131642589278,-0.1709229665884009,0.0
P7,14ch,20corr,30task,0,Gamma_mean x p10,28,8.359568673718886,3.998976001027963,2.9884751909965646,2.1650899486959005,2.218611186508159,0.125,0.18181818181818182,1.0105008100313984,-0.05352123781225826,-0.05681818181818182
P8,14ch,20corr,30task,1,Beta_mean x p11,1,3.86181333953564,3.440675408049739,2.559004928445267,2.834800587795271,2.6397463640363426,0.125,0.09090909090909091,0.8816704796044719,0.19505422375892856,0.03409090909090909
P9,14ch,20corr,30task,0,Gamma_mean x p11,24,2.885157776444498,2.410084011324745,2.535512334658954,2.8600397067298666,2.929221733882178,0.125,0.09090909090909091,-0.12542832333420906,-0.06918202715231159,0.03409090909090909
