label,is_sig_session,n_stage2,best_pair,best_r,best_abs_r,best_q_fdr,top_h1_zero_mean,rest_h1_zero_mean,delta_h1_zero,rho_h1_zero,p_h1_zero,top_h1_total_persistence_mean,rest_h1_total_persistence_mean,delta_h1_total_persistence,rho_h1_total_persistence,p_h1_total_persistence,top_lambda2_mean,rest_lambda2_mean,delta_lambda2,rho_lambda2,p_lambda2,top_aspl_mean,rest_aspl_mean,delta_aspl,rho_aspl,p_aspl,top_Q_Ricci_mean,rest_Q_Ricci_mean,delta_Q_Ricci,rho_Q_Ricci,p_Q_Ricci,top_abs_Q_Ricci_mean,rest_abs_Q_Ricci_mean,delta_abs_Q_Ricci,rho_abs_Q_Ricci,p_abs_Q_Ricci,top_E_Ricci_mean,rest_E_Ricci_mean,delta_E_Ricci,rho_E_Ricci,p_E_Ricci,top_qricci_cross_any_mean,rest_qricci_cross_any_mean,delta_qricci_cross_any,rho_qricci_cross_any,p_qricci_cross_any
P1,1,3,p00 x Delta_stability,0.6005474029094624,0.6005474029094624,0.0011945449142016424,0.375,0.18181818181818182,0.19318181818181818,0.16844943845261545,0.3735659197744481,0.04233194299634955,0.04916748954078854,-0.006835546544438992,-0.24782219560386443,0.1866983833337683,9.186284065126593,6.9465113252126205,2.239772739913972,0.20489432703003335,0.2774166832456207,1.5329641600123547,1.5560819399066808,-0.023117779894326063,-0.2182424916573971,0.24661813792782375,-0.001947299051754775,-0.001587837665437545,-0.0003594613863172299,-0.0580709759962302,0.7605109258294901,0.001947299051754775,0.001587837665437545,0.0003594613863172299,0.0580709759962302,0.7605109258294901,-7.828131018871401,-8.422615726243299,0.5944847073718975,0.34638487208008895,0.060774172271622975,0.0,0.0,0.0,,
P10,0,0,p01 x Theta_mean,0.3472832610193445,0.3472832610193445,,0.0,0.2727272727272727,-0.2727272727272727,-0.1251621121570517,0.5098890037065772,0.19678654365295686,0.09711888418094382,0.09966765947201305,0.003796790585386947,0.9841133698108838,3.4409739464512716,3.3478635967965173,0.09311034965475429,-0.06874304783092325,0.7181370776973052,2.329198869438632,2.193091881128015,0.13610698831061718,-0.03136818687430478,0.869297908673841,-0.0559416813321367,-0.04541776865370831,-0.010523912678428393,-0.20046723897549198,0.28815495879358405,0.0559416813321367,0.04541776865370831,0.010523912678428393,0.20046723897549198,0.28815495879358405,-7.247968732226414,-8.219268305351704,0.9712995731252905,0.08342602892102337,0.661174334820857,0.0,0.0,0.0,,
P11,1,1,p00 x Alpha_mean,-0.4412100094141278,0.4412100094141278,0.01466193368857206,0.125,0.0,0.125,0.18236047045259202,0.33479140792369694,0.259198078508685,0.21643740240350484,0.04276067610518014,0.06829810901001113,0.7198884259266681,2.335954286782116,2.89929837958489,-0.5633440928027742,-0.22180200222469412,0.23880395639710442,2.69975184902287,2.4706920771632253,0.22905977185964455,-0.029143492769744164,0.8784968881047432,-0.050757059215337186,-0.03331140851071899,-0.017445650704618197,-0.17823765461295618,0.34601810560722013,0.050757059215337186,0.06006336525944958,-0.009306306044112395,0.11815754631645407,0.5340335677105209,-7.671765574961961,-7.845234397051232,0.17346882208927106,0.05583982202447163,0.7694609720013511,0.25,0.045454545454545456,0.20454545454545453,0.22464994489727225,0.23267209095889615
P12,0,0,p01 x Gamma_stability,-0.2900904156815599,0.2900904156815599,,0.125,0.045454545454545456,0.07954545454545454,0.13895023099351478,0.46399353781886704,0.1982062103832508,0.2010637538399556,-0.0028575434567047753,-0.029591723400377846,0.8766421938440924,3.3773159136201185,2.54949798027322,0.8278179333468985,0.10789766407119021,0.5703546325895602,2.4603121481811057,2.5408122958227,-0.0805001476415943,-0.1292547274749722,0.4960364326833066,-0.06359328194970659,-0.07107305555076354,0.007479773601056949,0.2738598442714127,0.14307920409564936,0.06359328194970659,0.07107305555076354,-0.007479773601056949,-0.2738598442714127,0.14307920409564936,-8.14401720605223,-8.000333635196041,-0.14368357085618833,0.11101223581757509,0.5592119516282001,0.0,0.0,0.0,,
P13,1,8,p00 x Delta_stability,-0.5050134933531965,0.5050134933531965,0.014527543264611576,0.0,0.045454545454545456,-0.045454545454545456,-0.16090629745816945,0.39564408259742667,0.13554709393654585,0.23433683107307424,-0.09878973713652839,-0.3917686318131257,0.03227012769607614,2.734552930775152,2.620617761578218,0.11393516919693392,0.21690767519466073,0.24959160758351137,2.473358350288032,2.6788820465631233,-0.20552369627509126,-0.32413793103448274,0.08055618262173098,-0.06508505240686462,-0.0637080679351025,-0.0013769844717621132,-0.10656284760845385,0.5751604749636792,0.06508505240686462,0.0637080679351025,0.0013769844717621132,0.10656284760845385,0.5751604749636792,-8.377248627314035,-7.841448485540831,-0.5358001417732039,-0.43670745272525024,0.015827986517519498,0.0,0.0,0.0,,
P14,0,0,p01 x Alpha_peak,-0.31221593687466564,0.31221593687466564,,0.25,0.18181818181818182,0.06818181818181818,-0.19255709562623338,0.30799209764337926,0.20721671510330417,0.19923830463206177,0.007978410471242398,0.0830827116331732,0.6624867425302808,3.4801312120362002,3.7795770695259194,-0.2994458574897192,-0.1768631813125695,0.34981066783455944,2.5450515825069258,2.4024180578397325,0.14263352466719326,0.11457174638487205,0.5466011942416225,-0.05040402926678385,-0.06553383973665736,0.015129810469873509,0.17374860956618463,0.3584964502231814,0.05040402926678385,0.06553383973665736,-0.015129810469873509,-0.17374860956618463,0.3584964502231814,-8.130502520207784,-7.585743393580781,-0.5447591266270031,-0.12836484983314794,0.4990322211270612,0.0,0.0,0.0,,
P15,0,0,p11 x Beta_stability,0.3333309651990471,0.3333309651990471,,0.25,0.045454545454545456,0.20454545454545453,0.3530213419814278,0.05567870779758213,0.2506345658328377,0.2600657989901451,-0.009431233157307373,-0.20943692259695143,0.2666696540389104,5.161369490515495,3.6373937869478463,1.523975703567649,0.09899888765294772,0.6027289022857427,2.6529315414767156,2.498953001465975,0.15397854001074052,0.03982202447163515,0.8345038040366158,-0.046151516035422446,-0.026848346405469757,-0.01930316962995269,0.13236929922135707,0.4856230559252266,0.046151516035422446,0.0835067690104275,-0.037355252975005054,-0.26896551724137935,0.15065332474676152,-7.36689211401514,-8.052992830862406,0.6861007168472657,-0.01846496106785317,0.9228476207693762,0.0,0.18181818181818182,-0.18181818181818182,-0.15860692422813255,0.4025192976393742
P16,1,6,p00 x Theta_mean,0.4018237228406448,0.4018237228406448,0.04876331780479214,0.125,0.045454545454545456,0.07954545454545454,0.15438914554834976,0.4153050303247528,0.1759226316333818,0.2704343234410138,-0.09451169180763203,-0.006674824827152898,0.9720746707580632,4.129286505012444,3.2316888819212988,0.8975976230911451,-0.05850945494994438,0.7587555295721804,2.348760204482489,2.713035953076566,-0.3642757485940771,-0.058954393770856504,0.756975472697446,-0.01724854562659754,-0.036310099191386745,0.019061553564789207,-0.06607341490545049,0.7286658674295456,0.08723099196635617,0.06462405410810355,0.022606937858252615,0.040266963292547274,0.8326804047464437,-8.604135972151898,-7.449434300699801,-1.1547016714520968,-0.22180200222469412,0.23880395639710442,0.125,0.22727272727272727,-0.10227272727272727,-0.19255709562623338,0.30799209764337926
P17,0,0,p10 x Gamma_mean,0.28411336066647164,0.28411336066647164,,0.25,0.09090909090909091,0.1590909090909091,0.12461972617924699,0.5117391005174621,0.04310537605065713,0.1535242960196187,-0.11041891996896157,-0.2521159692387733,0.17893221775085752,3.041775097338573,3.4140685560120163,-0.3722934586734432,-0.09632925472747497,0.6125912726882877,2.041563098759383,2.19097497095533,-0.1494118721959472,0.055394883203559515,0.7712493167085642,-0.06780604689365397,-0.06235662856772528,-0.005449418325928684,0.22313681868743046,0.2359167000378454,0.06780604689365397,0.06235662856772528,0.005449418325928684,-0.22313681868743046,0.2359167000378454,-8.306068868745859,-8.439586323396817,0.1335174546509581,0.1243604004449388,0.5126248379279994,0.0,0.0,0.0,,
P18,0,0,p01 x Alpha_peak,-0.32769645149901216,0.32769645149901216,,0.25,0.09090909090909091,0.1590909090909091,0.24923945235849398,0.18410941277848789,0.1191370484123343,0.17930484253604131,-0.060167794123707014,-0.3632518956081618,0.0484891345136748,4.078131825027207,3.943607075559692,0.13452474946751547,0.1982202447163515,0.2937051929218922,1.9860107436018626,2.1963185019906253,-0.2103077583887627,-0.30055617352614017,0.10656462177179263,-0.004539807187306967,-0.047385155356105324,0.042845348168798356,0.5635150166852058,0.0011843609298824154,0.07558502223179991,0.07353826773023861,0.0020467545015613042,-0.38331479421579534,0.03653609701151286,-8.276311931009085,-7.737309794543651,-0.5390021364654336,-0.36240266963292544,0.04905634004064176,0.25,0.18181818181818182,0.06818181818181818,0.20218495040754506,0.28395748712211144
